果树种类,基地名称,横排,纵排,总价,重量,浇水,施肥,除草,除虫
红心芭乐,基地名称一,2,10,2010,210,40,40,10,10
红心芭乐,基地名称一,2,11,2011,211,20,30,30,20
红心芭乐,基地名称一,2,12,2012,212,25,25,25,25
红心芭乐,基地名称一,2,13,2013,213,40,40,10,10
红心芭乐,基地名称一,2,14,2014,214,20,30,30,20
红心芭乐,基地名称一,2,15,2015,215,25,25,25,25
红心芭乐,基地名称一,2,16,2016,216,40,40,10,10
红心芭乐,基地名称一,2,17,2017,217,20,30,30,20
红心芭乐,基地名称一,2,18,2018,218,25,25,25,25
红心芭乐,基地名称一,2,19,2019,219,40,40,10,10
红心芭乐,基地名称一,2,20,2020,220,20,30,30,20
红心芭乐,基地名称一,2,21,2021,221,25,25,25,25
红心芭乐,基地名称一,2,22,2022,222,40,40,10,10
红心芭乐,基地名称一,2,23,2023,223,20,30,30,20
红心芭乐,基地名称一,2,24,2024,224,25,25,25,25
红心芭乐,基地名称一,2,25,2025,225,40,40,10,10
红心芭乐,基地名称一,2,26,2026,226,20,30,30,20
红心芭乐,基地名称一,2,27,2027,227,25,25,25,25
红心芭乐,基地名称一,2,28,2028,228,40,40,10,10
红心芭乐,基地名称一,2,29,2029,229,20,30,30,20
红心芭乐,基地名称一,2,30,2030,230,25,25,25,25
红心芭乐,基地名称一,2,31,2031,231,40,40,10,10
红心芭乐,基地名称一,2,32,2032,232,20,30,30,20
红心芭乐,基地名称一,2,33,2033,233,25,25,25,25
红心芭乐,基地名称一,2,34,2034,234,40,40,10,10
红心芭乐,基地名称一,2,35,2035,235,20,30,30,20
红心芭乐,基地名称一,2,36,2036,236,25,25,25,25
红心芭乐,基地名称一,2,37,2037,237,40,40,10,10
红心芭乐,基地名称一,2,38,2038,238,20,30,30,20
红心芭乐,基地名称一,2,39,2039,239,25,25,25,25
红心芭乐,基地名称一,2,40,2040,240,40,40,10,10
红心芭乐,基地名称一,2,41,2041,241,20,30,30,20
红心芭乐,基地名称一,2,42,2042,242,25,25,25,25
红心芭乐,基地名称一,2,43,2043,243,40,40,10,10
红心芭乐,基地名称一,2,44,2044,244,20,30,30,20
红心芭乐,基地名称一,2,45,2045,245,25,25,25,25
红心芭乐,基地名称一,2,46,2046,246,40,40,10,10
红心芭乐,基地名称一,2,47,2047,247,20,30,30,20
红心芭乐,基地名称一,2,48,2048,248,25,25,25,25
红心芭乐,基地名称一,2,49,2049,249,40,40,10,10
红心芭乐,基地名称一,2,50,2050,250,20,30,30,20
百香果树,基地名称一,3,1,3001,301,25,25,25,25
红心芭乐,基地名称一,3,2,3002,302,40,40,10,10
