果树种类,基地名称,横排,纵排,总价,重量,浇水,施肥,除草,除虫,套袋,剪枝
百香果树,基地名称一,1,45,1045,145,20,10,30,40,145,145
红心芭乐,基地名称一,1,46,1046,146,20,30,20,30,146,146
百香果树,基地名称一,1,47,1047,147,30,40,10,20,147,147
红心芭乐,基地名称一,1,48,1048,148,20,10,30,40,148,148
百香果树,基地名称一,1,49,1049,149,20,30,20,30,149,149
红心芭乐,基地名称一,1,50,1050,150,30,40,10,20,150,150
百香果树,基地名称一,2,1,2001,201,20,10,30,40,201,201
红心芭乐,基地名称一,2,2,2002,202,20,30,20,30,202,202
百香果树,基地名称一,2,3,2003,203,30,40,10,20,203,203
红心芭乐,基地名称一,2,4,2004,204,20,10,30,40,204,204
百香果树,基地名称一,2,5,2005,205,20,30,20,30,205,205
红心芭乐,基地名称一,2,6,2006,206,30,40,10,20,206,206
百香果树,基地名称一,2,7,2007,207,20,10,30,40,207,207
红心芭乐,基地名称一,2,8,2008,208,20,30,20,30,208,208
百香果树,基地名称一,2,9,2009,209,30,40,10,20,209,209
红心芭乐,基地名称一,2,10,2010,210,20,10,30,40,210,210
百香果树,基地名称一,2,11,2011,211,20,30,20,30,211,211
红心芭乐,基地名称一,2,12,2012,212,30,40,10,20,212,212
百香果树,基地名称一,2,13,2013,213,20,10,30,40,213,213
红心芭乐,基地名称一,2,14,2014,214,20,30,20,30,214,214
百香果树,基地名称一,2,15,2015,215,30,40,10,20,215,215
红心芭乐,基地名称一,2,16,2016,216,20,10,30,40,216,216
百香果树,基地名称一,2,17,2017,217,20,30,20,30,217,217
红心芭乐,基地名称一,2,18,2018,218,30,40,10,20,218,218
百香果树,基地名称一,2,19,2019,219,20,10,30,40,219,219
红心芭乐,基地名称一,2,20,2020,220,20,30,20,30,220,220
百香果树,基地名称一,2,21,2021,221,30,40,10,20,221,221
红心芭乐,基地名称一,2,22,2022,222,20,10,30,40,222,222
百香果树,基地名称一,2,23,2023,223,20,30,20,30,223,223
红心芭乐,基地名称一,2,24,2024,224,30,40,10,20,224,224
百香果树,基地名称一,2,25,2025,225,20,10,30,40,225,225
红心芭乐,基地名称一,2,26,2026,226,20,30,20,30,226,226
百香果树,基地名称一,2,27,2027,227,30,40,10,20,227,227
红心芭乐,基地名称一,2,28,2028,228,20,10,30,40,228,228
百香果树,基地名称一,2,29,2029,229,20,30,20,30,229,229
红心芭乐,基地名称一,2,30,2030,230,30,40,10,20,230,230
百香果树,基地名称一,2,31,2031,231,20,10,30,40,231,231
红心芭乐,基地名称一,2,32,2032,232,20,30,20,30,232,232
百香果树,基地名称一,2,33,2033,233,30,40,10,20,233,233
红心芭乐,基地名称一,2,34,2034,234,20,10,30,40,234,234
百香果树,基地名称一,2,35,2035,235,20,30,20,30,235,235
红心芭乐,基地名称一,2,36,2036,236,30,40,10,20,236,236
百香果树,基地名称一,2,37,2037,237,20,10,30,40,237,237
红心芭乐,基地名称一,2,38,2038,238,20,30,20,30,238,238
百香果树,基地名称一,2,39,2039,239,30,40,10,20,239,239
红心芭乐,基地名称一,2,40,2040,240,20,10,30,40,240,240
百香果树,基地名称一,2,41,2041,241,20,30,20,30,241,241
红心芭乐,基地名称一,2,42,2042,242,30,40,10,20,242,242
百香果树,基地名称一,2,43,2043,243,20,10,30,40,243,243
红心芭乐,基地名称一,2,44,2044,244,20,30,20,30,244,244
百香果树,基地名称一,2,45,2045,245,30,40,10,20,245,245
红心芭乐,基地名称一,2,46,2046,246,20,10,30,40,246,246
百香果树,基地名称一,2,47,2047,247,20,30,20,30,247,247
红心芭乐,基地名称一,2,48,2048,248,30,40,10,20,248,248
百香果树,基地名称一,2,49,2049,249,20,10,30,40,249,249
红心芭乐,基地名称一,2,50,2050,250,20,30,20,30,250,250
